DEVICE	DESCR	VALUE	RATING	PACKAGE	MFG PN	MFGR NAME	MIT PN	NOTE
CAPACITOR	CAPACITOR	3.3uF	25WVDC X7R	2225	HR2225X7R335K1NT91#N2	PRESIDIO		
CAPACITOR	CAPACITOR	100pF	5% NP0 Vitreous	0505	VJ0505D101JXCAJ	VISHAY		
CAPACITOR	CAPACITOR	30pF	5% NP0 Vitreous	0505	VJ0505D300JXPAJ	VISHAY		
CHASSIS	CHASSIS	unknown	unknown	CHASSIS		PCB		
DG403	CMOS ANALOG SWITCH	unknown	unknown	SO16	DG403DY-E3	VISHAY	37-99005	
DUAL_OPAMP	DUAL OPAMP	LT2078AIS8	unknown	SO8	LT2078AIS8#PBF	LINEAR TECH	37-99003	
DUAL_OPAMP	DUAL OPAMP	LM6142AIM	unknown	SO8	LM6142AIM/NOPB	TEXAS INST	37-99004	
EXC-3BB102H	EMI CHIP BEAD	unknown	unknown	0603	2506031027H0	FAIR-RITE		
Flexprint	Flexprint	unknown	unknown	NK-2M2-051	NK-2M2-051-135-JC00	Airborne		
Header	Header	unknown	unknown	HEADER16	DNP	DNP		NOT USED FOR FLIGHT
HEADER14	HEADER14	87832-1420	unknown	HEADER14SMT2MM	DNP	DNP		NOT USED FOR FLIGHT
LED	LED	DNP	unknown	0603	DNP	DNP		NOT USED FOR FLIGHT
ADA4805-1AKSZ	LOW NOISE OPAMP	unknown	unknown	SC70-6	ADA4805-1AKSZ-R2	ANALOG DEVICES	37-99021	
MAX4594DCKR	LV ANALOG SWITCH	unknown	unknown	SC70	MAX4594DCKR	TEXAS INST	37-99011	
MAX9180	LVDS REPEATER	unknown	unknown	SC70-6	MAX9180EXT+T/BKN	MAXIM	37-99020	
MMBFJ309	N-Ch RF Amplifier	unknown	unknown	SOT23	MMBFJ309/BKN	FAIRCHILD	37-99008	
NMOS_TRANSISTOR	NMOS POWER FET	IRFE220	unknown	18LCC	JANTXV2N6790U	INTL RECT	37-98001	
NPN_TRANSISTOR	NPN TRANSISTOR	MMBT2222A	unknown	UB	JANTX2N2222AUB	MICROSEMI	37-99014	
1116R60M00000BF	OSC XO	DNP	unknown	1116.	DNP	DNP		BACKUP XO
PMOS_TRANSISTOR	PMOS POWER FET	IRFE9120	unknown	18LCC	JANTXV2N6845U	INTL RECT	37-98002	
