# Device	Value	Spec	footprint	Manufacturer	Part#
CAPACITOR	47nF	50WVDC X7R	0805	Murata Electronics North America	GRM21BR71H473KA01L
CAPACITOR	DNP	5% NP0 Vitreous	0505			Do not populate
DIODE	1N914UR	N/A	DO213AA	Microsemi HI-REL [MIL]	JANTX1N914UR
EXC-3BB102H	unknown	unknown	0603	Wurth Electronics Inc	74279266
MMBFJ309	unknown	unknown	SOT23	Fairchild Semiconductor	MMBFJ309
RESISTOR	1	1/4W	1206	Panasonic Electronic Components	ERJ-8RQF1R0V
RESISTOR	20	1% 1/10W	0603	Panasonic Electronic Components	ERJ-3EKF20R0V
RESISTOR	62	1% 1/10W	0805	Panasonic Electronic Components	ERJ-6ENF62R0V
RESISTOR	1.05k	1% 1/10W	0603	Panasonic Electronic Components	ERJ-3EKF1021V
RESISTOR	1.50k	1%	0603	Panasonic Electronic Components	ERJ-3EKF1501V
RESISTOR	15.0k	1% 1/10W	0603	Panasonic Electronic Components	ERJ-3EKF1502V
RESISTOR	15k	1%	0603	Panasonic Electronic Components	ERJ-3EKF1502V
RESISTOR	3.74k	1%	0603	Panasonic Electronic Components	ERJ-3EKF3741V
RESISTOR	3.74k	1% 1/10W	0603	Panasonic Electronic Components	ERJ-3EKF3741V
RESISTOR	392k	1%	0603	Panasonic Electronic Components	ERJ-3EKF3923V
RESISTOR	4.3k	1% 1/10W	0603	Panasonic Electronic Components	ERJ-3EKF4301V
RESISTOR	4.42k	1% 1/10W	0603	Panasonic Electronic Components	ERJ-3EKF4421V
MAX308CSE+	unknown	unknown	SO16	Maxim Integrated	MAX308CSE+
CAPACITOR	1uF	10WVDC	0805	Murata Electronics North America	GRM21BR71A105KA01L
RESISTOR	10k	1%	0603	Panasonic Electronic Components	ERJ-3EKF1002V
RESISTOR	33.2k	1%	0603	Panasonic Electronic Components	ERJ-3EKF3322V
AD5328	unknown	unknown	TSSOP16	Analog Devices	AD5328ARUZ
CAPACITOR	620pF	10WVDC	0805	Samsung Electro-Mechanical America, Inc	CL21C621JBCNNNC
CAPACITOR	22nF	100WVDC X7R	0805	Murata Electronics North America	GRM21BR72A223KA01L
PNP_TRANSISTOR	PMBTA92	unknown	SOT23	NXP Semiconductors	PMBTA92,215
RESISTOR	14.7k	1% 1/10W	0603	Panasonic Electronic Components	ERJ-3EKF1472V
RESISTOR	36.5k	1%	0603	Panasonic Electronic Components	ERJ-3EKF3652V
RESISTOR	4.75k	1% 1/10W	0603	Panasonic Electronic Components	ERJ-3EKF4751V
REFERENCE	REF43GS	N/A	SO8	Analog Devices	REF43GSZ
RESISTOR	464	1% 1/10W	0603	Panasonic Electronic Components	ERJ-3EKF4640V
RESISTOR	100k	1% 1/10W	0603	Panasonic Electronic Components	ERJ-3EKF1003V
RESISTOR	24.9k	1% 1/10W	0603	Panasonic Electronic Components	ERJ-3EKF2492V
CAPACITOR	33nF	25WVDC X7R	0603	Murata Electronics North America	GRM188R71E333KA01D
Flexprint	unknown	unknown	NK-2M2-051			WILL ADD AT MIT
RESISTOR	0	1%	0603	Panasonic Electronic Components	ERJ-3GEY0R00V
RESISTOR	4.99	1% 1/10W	0603	Vishay Dale	CRCW06034R99FKEA
RESISTOR	133k	1%	0603	Panasonic Electronic Components	ERJ-3EKF1333V
RESISTOR	24.9k	1%	0603	Panasonic Electronic Components	ERJ-3EKF2492V
RESISTOR	26.1k	1%	0603	Panasonic Electronic Components	ERJ-3EKF2612V
RESISTOR	3.01Meg	1%	0603	Vishay Dale	CRCW06033M01FKEA
74HC138	unknown	unknown	SO16N	Texas Instruments	CD74HC138M
74HC238	unknown	unknown	SO16N	Texas Instruments	CD74HC238M
FX2P	unknown	unknown	FX2CA-68P-1P27DSA	Hirose	FX2CA-68P-1.27DSA(71)
RESISTOR	31.6k	1% 1/10W	0603	Panasonic Electronic Components	ERJ-3EKF3162V
LM395T	unknown	unknown	TO220	Texas Instruments	LM395T/NOPB
RESISTOR	0.402	1% 1/10W	0603	Yageo	RL0603FR-070R4L	Actually 0.4
RESISTOR	1k	1% 1/10W	0603	Panasonic Electronic Components	ERJ-3EKF1001V
RESISTOR	7.15k	1% 1/10W	0603	Panasonic Electronic Components	ERJ-3EKF7151V
TempConn	MDM25pads	unknown	MDM25pads			No Component
					
					
					
